,,,,,,,
,,,,,,,
Site Name,Services Delivered at Site,Health Center Type,Health Center Location Type,Health Center Location Setting,County,State,Grant #
Tillamook County Community Health Center - Main Street Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Tillamook County,OR,H80CS00555
Mobile Medical  Van,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Coconino County,AZ,H80CS24200
Thundermist Dental West Warwick,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kent County,RI,H80CS00454
Admin Building,No,Administrative,Permanent,All Other Clinic Types,Monroe County,WV,H80CS00384
Crossroads Health Mentor Avenue,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lake County,OH,[No Data]
HSNT Plano,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Collin County,TX,H80CS24197
WellOne Primary Medical and Dental Care Behavioral Health Program,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Providence County,RI,H80CS00308
Noble Community Clinics - Beaver Dam,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Dodge County,WI,H80CS00713
SAC Brier,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,San Bernardino County,CA,H80CS28992
"Central City Community Health Center, Inc.- Horace Mann Elementary",Yes,Service Delivery Site,Permanent,School,Orange County,CA,H80CS10608
GOSHEN MEDICAL CENTER - BEULAVILLE MOBILE UNIT,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Duplin County,NC,H80CS00181
Laurel Dental - Blossburg,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Tioga County,PA,H80CS00682
CHS Children's Behavioral Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Miami-Dade County,FL,H80CS04214
Harmony Healthcare Long Island at Baldwin High School,Yes,Service Delivery Site,Permanent,School,Nassau County,NY,H80CS00313
Kansas City CARE Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Jackson County,MO,H80CS28966
YVFWC MOBILE DENTAL UNIT #4,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Yakima County,WA,H80CS00639
MSA-West Academy,Yes,Service Delivery Site,Seasonal,School,Iberville Parish,LA,H80CS00867
Lone Star Circle of Care at Northwest Austin,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Travis County,TX,H80CS04289
Old Town High School RSU 34,Yes,Service Delivery Site,Permanent,School,Penobscot County,ME,H80CS04291
A.I. PRINCE TECHNICAL SCHOOL,Yes,Service Delivery Site,Seasonal,School,Capitol Planning Region,CT,H80CS00153
Community Health Center Pharmacy,No,Administrative,Permanent,All Other Clinic Types,Silver Bow County,MT,H80CS00799
Neighborhood Health at the Gartlan Mental Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Fairfax County,VA,H80CS02446
CommuniCare Health Centers - Stone Oak,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bexar County,TX,H80CS00672
Neosho Schools- South Elementary,Yes,Service Delivery Site,Seasonal,School,Newton County,MO,H80CS00673
Universal Community Health Center - San Pedro,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS30722
"Community Health Care, Inc. - The Project",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Rock Island County,IL,H80CS00670
Liberal Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Seward County,KS,H80CS00838
LAGLC Youth Center on Highland,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS00139
St. Jude Neighborhood Health Centers Leadership Offices @ SJO,No,Administrative,Permanent,Unknown,Orange County,CA,H80CS26628
Solvera Health Peoria,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Peoria County,IL,[No Data]
The Chautauqua Center - Mayville PT OT,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Chautauqua County,NY,H80CS24166
White Memorial Community Health Center-Administration,No,Administrative,Permanent,All Other Clinic Types,Los Angeles County,CA,[No Data]
NUESTRA CLINICA DEL VALLE - MEMORIAL,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hidalgo County,TX,H80CS00209
"Compass Health, Inc.",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Vernon County,MO,H80CS26563
Crestwood Medical Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Jefferson County,AL,H80CS00020
MID-CITY COMMUNITY CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Diego County,CA,H80CS02319
North Knox Jr/Sr High School,Yes,Service Delivery Site,Seasonal,School,Knox County,IN,[No Data]
Mobile Health Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Tuscaloosa County,AL,H80CS00094
Epler Parke BH Services,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Marion County,IN,H80CS02456
CENTRAL MISSISSIPPI HLTH SERVICE,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Hinds County,MS,H80CS00860
Desert Senita Community Health Center - Coolidge,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pinal County,AZ,H80CS00753
Equity Health - LoPrest - 555,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Francisco County,CA,H80CS00381
HWC - Checotah Pharmacy,Yes,Service Delivery Site,Permanent,All Other Clinic Types,McIntosh County,OK,H80CS04286
Davis Street Primary Care Clinic,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Alameda County,CA,H80CS28979
CommWell Health of Salemburg,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Sampson County,NC,H80CS00655
Wesley Health Centers - Michael Antonovich Dental Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS06673
Criss Elementary School,Yes,Service Delivery Site,Permanent,School,Wood County,WV,H80CS00843
Meridian Health Services Corp,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Wells County,IN,H80CS26567
SVT Health & Wellness - Seldovia,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kenai Peninsula Borough,AK,H80CS01136
North Central Family Medical Center-Chester Site,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Chester County,SC,H80CS00750
"AltaMed Medical and Dental Group: Santa Ana, Main",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Orange County,CA,H80CS00142
CITRUS MED,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Miami-Dade County,FL,H80CS04214
Transitions,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Suffolk County,MA,H80CS00006
Mobile Medical Trailer-Pediatric VINCA5458,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Hillsborough County,FL,H80CS00407
Comanche Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Stephens County,OK,H80CS08779
Community Health Center of Southeast Kansas System Office,No,Administrative,Permanent,All Other Clinic Types,Crawford County,KS,H80CS00841
Children's Care East,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Collier County,FL,H80CS00735
South High School,Yes,Service Delivery Site,Seasonal,School,Hennepin County,MN,H80CS00441
Southwest Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,District of Columbia,DC,H80CS00070
RKM at North Corbin Elementary,Yes,Service Delivery Site,Seasonal,School,Livingston Parish,LA,H80CS06459
"Fairfax Medical Facilities, Inc. - Administration Office",No,Administrative,Permanent,All Other Clinic Types,Osage County,OK,H80CS06456
MOUNT VERNON NEIGHBORHOOD HEALTH CENTER,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Westchester County,NY,H80CS00161
El Dorado Community Health Center Cameron Park Main,Yes,Service Delivery Site,Permanent,All Other Clinic Types,El Dorado County,CA,H80CS06671
Peach Tree Mobile Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Yuba County,CA,H80CS06629
Bluestem Health: Main Clinic,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Lancaster County,NE,H80CS00236
Glasgow Pediatric Healthcare,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Barren County,KY,H80CS08218
Zora Neale Hurston Elementary,Yes,Service Delivery Site,Permanent,School,Miami-Dade County,FL,H80CS00821
Lake Country Academy,Yes,Service Delivery Site,Seasonal,School,Sheboygan County,WI,H80CS24152
Apicha Community Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,New York County,NY,H80CS29016
Howard Elementary School,Yes,Service Delivery Site,Seasonal,School,Hall County,NE,H80CS26562
Brazoria County Dream Center Integrated Health Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Brazoria County,TX,H80CS11255
Kent Public Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,King County,WA,H80CS00056
Union Elementary School Wellness Center,Yes,Service Delivery Site,Permanent,School,Upshur County,WV,H80CS00080
Lincoln County High Healthy Kids Clinic,Yes,Service Delivery Site,Permanent,School,Lincoln County,KY,H80CS08218
Women's Health Mobile Clinic,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Webb County,TX,H80CS00779
CareSouth Carolina Bishopville Pediatric Dental Office,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lee County,SC,H80CS00654
Manchester Mobile Health Care,Yes,Service Delivery Site,Mobile Van,Hospital,Hillsborough County,NH,H80CS00002
FAMILY Circle of Care Broadway Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Smith County,TX,H80CS26190
Jonesville Medical Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Catahoula Parish,LA,H80CS00206
HAWTHORNE MIDDLE SCHOOL,Yes,Service Delivery Site,Seasonal,School,Bannock County,ID,H80CS00321
Lowville Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Lewis County,NY,H80CS24165
"Circle the City Medical Respite Center, Downtown Campus",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Maricopa County,AZ,H80CS28365
APLA Health & Wellness - Long Beach Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS26614
United Technical Center Wellness Center,Yes,Service Delivery Site,Permanent,School,Harrison County,WV,H80CS00080
Evara Health - Johnnie Ruth Clarke,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Pinellas County,FL,H80CS00463
PrimaryOne Health Parsons Central,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Franklin County,OH,H80CS00118
United Community Health Center at Freeport McMoRan Copper & Gold Building,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Pima County,AZ,H80CS00416
Eisner Health Intergenerational Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS04223
"NORTHEAST ALABAMA HEALTH SERVICES, INC. - SKYLINE",Yes,Service Delivery Site,Permanent,All Other Clinic Types,Jackson County,AL,H80CS00760
KIPP Nexus,Yes,Service Delivery Site,Seasonal,School,Harris County,TX,H80CS07502
KOYUK CLINIC,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Nome Census Area,AK,H80CS01130
COLONIAL ACRES NURSING HOME,Yes,Service Delivery Site,Permanent,Nursing Home,Penobscot County,ME,H80CS02450
Denny Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL,H80CS00194
Traverse City Administrative Office,No,Administrative,Permanent,Unknown,Leelanau County,MI,H80CS00669
Flatwoods Elementary School Wellness Center,Yes,Service Delivery Site,Permanent,School,Braxton County,WV,H80CS00080
Boriken Neighborhood Health Center,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,New York County,NY,H80CS00060
Leonard J. Tyl Middle School - School Based Health Center,Yes,Service Delivery Site,Permanent,School,Southeastern Connecticut Planning Region,CT,H80CS29000
Advantage Health Centers - Alexandrine,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Wayne County,MI,H80CS00033
Affinia Healthcare 6763 Page,Yes,Service Delivery Site,Permanent,All Other Clinic Types,St. Louis County,MO,H80CS00415
HomePlace Clinic - Prestonsburg,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Floyd County,KY,H80CS24692
LCHC at Lincoln Park Fullerton,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL,H80CS00725
Omni Family Health,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Kern County,CA,H80CS00615
Williamson School-Based Health Center,Yes,Service Delivery Site,Permanent,School,Mingo County,WV,H80CS26637
Compass Health Inc.,Yes,Service Delivery Site,Permanent,All Other Clinic Types,St. Charles County,MO,H80CS26563
Dayspring Regional Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Whitley County,KY,H80CS00716
Kintegra Behavioral Health - Statesville,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Iredell County,NC,H80CS00293
AltaMed Dental Group - Mobile Unit #4,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Orange County,CA,H80CS00142
FHC Olympia Way Clinic,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cowlitz County,WA,H80CS00542
Sunset Mobile Medical Unit,Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Yuma County,AZ,H80CS04321
Evara Health - Dunedin,No,Administrative,Permanent,All Other Clinic Types,Pinellas County,FL,H80CS00463
Pediatrics of Newberry (dba Cooperative Health Newberry),Yes,Service Delivery Site,Permanent,All Other Clinic Types,Newberry County,SC,H80CS00730
Ansted Elementary School,Yes,Service Delivery Site,Permanent,School,Fayette County,WV,H80CS18278
Karnes Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Karnes County,TX,H80CS00405
Hamilton Middle School,Yes,Service Delivery Site,Permanent,School,Wood County,WV,H80CS00843
Tandem Health,No,Administrative,Permanent,Unknown,Sumter County,SC,H80CS00868
"AltaMed Behavioral Health at Lillian Street Elementary School, Los Angeles",Yes,Service Delivery Site,Permanent,School,Los Angeles County,CA,H80CS00142
Human Services and Child Welfare,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Siskiyou County,CA,H80CS04224
Lessie Moore Elementary SBHC,Yes,Service Delivery Site,Seasonal,School,Rapides Parish,LA,H80CS00867
Southern California Medical Center - San Dimas,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS28368
ACCESS Ashland Family Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL,H80CS00834
Nimgil,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Yap State,FM,H80CS06653
Meridian Health Services Corp,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Miami County,IN,H80CS26567
St. Mary Health Centers - Hesperia,Yes,Service Delivery Site,Permanent,All Other Clinic Types,San Bernardino County,CA,H80CS26628
Adair County Elementary Healthy Kids Clinic,Yes,Service Delivery Site,Permanent,School,Adair County,KY,H80CS08218
Farmington R-VII Middle School,Yes,Service Delivery Site,Seasonal,School,St. Francois County,MO,H80CS06670
CREC South,Yes,Service Delivery Site,Seasonal,School,Capitol Planning Region,CT,H80CS00326
Howard Brown Health Halsted,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Cook County,IL,H80CS29004
SCH Winchester,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Winchester City,VA,H80CS00781
Main Street Physicians,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Suffolk City,VA,H80CS00073
Vernon Parish Community Health Center,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Vernon Parish,LA,H80CS00697
ODA Monticello Primary Health Care Center,Yes,Service Delivery Site,Seasonal,All Other Clinic Types,Sullivan County,NY,H80CS00064
New River Health Association -Lester Square,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Raleigh County,WV,H80CS00075
Canyonlands Healthcare - Safford,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Graham County,AZ,H80CS00448
PrimaryPlus - Morehead,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Rowan County,KY,H80CS00106
MN Community Care - Johnson SBC,Yes,Service Delivery Site,Seasonal,School,Ramsey County,MN,H80CS00790
"ECHO Community Health Care, Inc. Administrative Office",No,Administrative,Permanent,All Other Clinic Types,Vanderburgh County,IN,H80CS00199
Family Medical Center - Monroe Main,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Monroe County,MI,H80CS00390
House of Mercy,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Monroe County,NY,H80CS33885
VALLEY COMMUNITY HEALTHCARE,Yes,Administrative/Service Delivery Site,Permanent,All Other Clinic Types,Los Angeles County,CA,H80CS04222
Mobile Outreach Clinic (MOC),Yes,Service Delivery Site,Mobile Van,All Other Clinic Types,Clark County,NV,H80CS28967
Primary Care & Hope Clinic of Shelbyville,Yes,Service Delivery Site,Permanent,All Other Clinic Types,Bedford County,TN,H80CS24156
